Date,Price,Open,High,Low,Change %
05/19/2023,1779.2,1793.1,1805.6,1770.4,-0.66%
05/18/2023,1791.1,1781.3,1794.4,1768.1,+0.57%
05/17/2023,1781.0,1744.9,1784.0,1739.7,+2.30%
05/16/2023,1740.9,1766.3,1768.0,1739.7,-1.50%
05/15/2023,1767.5,1742.7,1776.5,1740.4,+1.20%
05/12/2023,1746.5,1750.4,1763.1,1734.9,-0.18%
05/11/2023,1749.7,1766.9,1774.1,1739.6,-0.86%
05/10/2023,1764.9,1755.2,1786.8,1747.0,+0.56%
05/09/2023,1755.1,1761.1,1762.7,1741.4,-0.34%
05/08/2023,1761.0,1765.6,1776.1,1751.4,-0.25%
05/05/2023,1765.4,1724.0,1772.2,1723.4,+2.40%
05/04/2023,1724.0,1730.0,1743.5,1707.9,-1.20%
05/03/2023,1745.0,1737.7,1778.9,1731.4,+0.41%
05/02/2023,1737.9,1772.0,1777.9,1720.4,-2.17%
05/01/2023,1776.4,1776.6,1796.5,1768.8,+0.09%
04/28/2023,1774.8,1757.5,1781.1,1742.2,+0.84%
04/27/2023,1760.1,1736.4,1762.0,1731.7,+1.28%
04/26/2023,1737.8,1754.1,1757.7,1733.0,-0.97%
04/25/2023,1754.8,1796.4,1796.9,1747.3,-2.48%
04/24/2023,1799.5,1797.3,1809.7,1788.1,-0.11%
04/21/2023,1801.4,1798.0,1808.6,1782.6,+0.18%
04/20/2023,1798.2,1805.9,1809.4,1788.4,-0.65%
04/19/2023,1809.9,1806.3,1814.0,1790.6,+0.22%
04/18/2023,1806.0,1814.3,1825.5,1794.8,-0.45%
04/17/2023,1814.2,1796.5,1817.1,1793.3,+1.26%
04/14/2023,1791.7,1806.1,1819.4,1779.1,-0.94%
04/13/2023,1808.7,1784.8,1813.9,1780.5,+1.33%
04/12/2023,1784.9,1798.2,1822.0,1782.7,-0.75%
04/11/2023,1798.3,1787.8,1807.2,1785.2,+0.71%
04/10/2023,1785.6,1779.2,1789.1,1754.3,+1.06%
04/07/2023,1766.8,1765.0,1785.5,1759.3,0.00%
04/06/2023,1766.8,1761.2,1772.2,1753.7,+0.18%
04/05/2023,1763.7,1783.6,1784.7,1752.7,-0.97%
04/04/2023,1780.9,1813.7,1823.0,1771.5,-1.84%
04/03/2023,1814.2,1810.2,1827.4,1793.3,-0.06%
04/01/2023,1815.2,1815.2,1815.2,1815.2,+0.09%
03/31/2023,1813.5,1781.1,1817.1,1777.8,+1.88%
03/30/2023,1780.1,1783.2,1802.4,1773.3,-0.24%
03/29/2023,1784.3,1767.5,1788.4,1766.9,+1.10%
03/28/2023,1764.8,1771.7,1779.0,1756.3,-0.14%
03/27/2023,1767.3,1748.1,1777.5,1745.3,+1.12%
03/24/2023,1747.7,1741.9,1751.2,1703.0,+0.88%
03/23/2023,1732.5,1745.8,1774.9,1716.7,-0.49%
03/22/2023,1741.0,1798.6,1799.2,1739.2,-2.92%
03/21/2023,1793.3,1763.9,1808.2,1761.1,+1.85%
03/20/2023,1760.7,1749.2,1779.4,1708.0,+0.10%
03/17/2023,1759.01,1768.3,1780.0,1740.1,-0.71%
03/16/2023,1771.5,1745.4,1785.5,1715.4,+1.36%
03/15/2023,1747.8,1770.0,1786.9,1715.0,-1.76%
03/14/2023,1779.1,1748.5,1805.1,1744.8,+1.95%
03/13/2023,1745.1,1780.8,1810.8,1722.6,-2.41%
03/10/2023,1788.2,1844.8,1855.1,1770.2,-3.04%
03/09/2023,1844.3,1898.0,1903.7,1840.9,-2.82%
03/08/2023,1897.8,1898.8,1907.7,1883.3,+0.02%
03/07/2023,1897.4,1919.5,1927.0,1894.0,-1.17%
03/06/2023,1919.8,1945.8,1954.6,1912.0,-0.57%
03/03/2023,1930.8,1903.1,1934.8,1898.2,+1.40%
03/02/2023,1904.2,1901.9,1908.4,1876.2,+0.23%
03/01/2023,1899.8,1900.7,1911.0,1887.5,+0.04%
02/28/2023,1899.1,1900.7,1916.7,1889.1,+0.01%
02/27/2023,1898.9,1890.5,1919.0,1889.3,+0.39%
02/24/2023,1891.6,1909.9,1914.5,1874.3,-1.01%
02/23/2023,1910.9,1901.4,1921.0,1884.4,+0.66%
