Date,Price,Open,High,Low,Change %
05/10/2023,4137.64,4143.74,4154.28,4098.92,+0.45%
05/09/2023,4119.17,4124.25,4130.35,4116.65,-0.46%
05/08/2023,4138.12,4136.98,4142.3,4123.81,+0.05%
05/05/2023,4136.25,4084.73,4147.02,4084.73,+1.85%
05/04/2023,4061.22,4082.55,4082.61,4048.28,-0.72%
05/03/2023,4090.75,4122.25,4148.3,4088.86,-0.70%
05/02/2023,4119.58,4164.1,4164.1,4089.72,-1.16%
05/01/2023,4167.87,4166.79,4186.92,4164.12,-0.04%
04/28/2023,4169.48,4129.63,4170.06,4127.18,+0.83%
04/27/2023,4135.35,4075.29,4138.24,4075.29,+1.96%
04/26/2023,4055.99,4087.78,4089.67,4049.35,-0.38%
04/25/2023,4071.63,4126.43,4126.43,4071.38,-1.58%
04/24/2023,4137.04,4132.07,4142.41,4117.77,+0.09%
04/21/2023,4133.52,4132.14,4138.02,4113.86,+0.09%
04/20/2023,4129.79,4130.48,4148.57,4114.57,-0.60%
04/19/2023,4154.52,4139.33,4162.57,4134.49,-0.01%
04/18/2023,4154.87,4164.26,4169.48,4140.36,+0.09%
04/17/2023,4151.32,4137.17,4151.72,4123.18,+0.33%
04/14/2023,4137.64,4140.11,4163.19,4113.2,-0.21%
04/13/2023,4146.22,4100.04,4150.26,4099.4,+1.33%
04/12/2023,4091.95,4121.72,4134.37,4086.94,-0.41%
04/11/2023,4108.94,4110.29,4124.26,4102.61,0.00%
04/10/2023,4109.11,4085.2,4109.5,4072.55,+0.10%
04/06/2023,4105.02,4081.15,4107.32,4069.84,+0.36%
04/05/2023,4090.38,4094.5,4099.69,4072.56,-0.25%
04/04/2023,4100.6,4128.03,4133.13,4086.87,-0.58%
04/03/2023,4124.51,4102.2,4127.66,4098.79,+0.37%
03/31/2023,4109.31,4056.18,4110.75,4056.18,+1.44%
03/30/2023,4050.83,4046.74,4057.85,4032.1,+0.57%
03/29/2023,4027.81,3999.53,4030.59,3999.53,+1.42%
03/28/2023,3971.27,3974.13,3979.2,3951.53,-0.16%
03/27/2023,3977.53,3982.93,4003.83,3970.49,+0.16%
03/24/2023,3970.99,3939.21,3972.74,3909.16,+0.56%
03/23/2023,3948.72,3959.21,4007.66,3919.05,+0.30%
03/22/2023,3936.97,4002.04,4039.49,3936.17,-1.65%
03/21/2023,4002.87,3975.89,4009.08,3971.19,+1.30%
03/20/2023,3951.57,3917.47,3956.62,3916.89,+0.89%
03/17/2023,3916.64,3958.69,3958.91,3901.27,-1.10%
03/16/2023,3960.28,3878.93,3964.46,3864.11,+1.76%
03/15/2023,3891.93,3876.74,3894.26,3838.24,-0.73%
03/14/2023,3920.56,3894.01,3937.29,3873.63,+1.68%
03/13/2023,3855.76,3835.12,3905.05,3808.86,-0.15%
03/10/2023,3861.59,3912.77,3934.05,3846.32,-1.45%
03/09/2023,3918.32,3998.66,4017.81,3908.7,-1.85%
03/08/2023,3992.01,3987.55,4000.41,3969.76,+0.14%
03/07/2023,3986.37,4048.26,4050.0,3980.31,-1.53%
03/06/2023,4048.42,4055.15,4078.49,4044.61,+0.07%
03/03/2023,4045.64,3998.02,4048.29,3995.17,+1.61%
03/02/2023,3981.35,3938.68,3990.84,3928.16,+0.76%
03/01/2023,3951.39,3963.34,3971.73,3939.05,-0.47%
02/28/2023,3970.15,3977.19,3997.5,3968.98,-0.30%
02/27/2023,3982.24,3992.36,4018.05,3973.55,+0.31%
02/24/2023,3970.04,3973.24,3978.25,3943.08,-1.05%
02/23/2023,4012.32,4018.6,4028.3,3969.19,+0.53%
02/22/2023,3991.05,4001.83,4017.37,3976.9,-0.16%
02/21/2023,3997.34,4052.35,4052.35,3995.19,-2.00%
02/17/2023,4079.09,4077.39,4081.51,4047.95,-0.28%
02/16/2023,4090.41,4114.75,4136.54,4089.49,-1.38%
02/15/2023,4147.6,4119.5,4148.11,4103.98,+0.28%
02/14/2023,4136.13,4126.7,4159.77,4095.01,-0.03%
02/13/2023,4137.29,4096.62,4138.9,4092.67,+1.14%
02/10/2023,4090.46,4068.92,4094.36,4060.79,+0.22%
02/09/2023,4081.5,4144.25,4156.23,4069.67,-0.88%
02/08/2023,4117.86,4153.47,4156.85,4111.67,-1.11%
02/07/2023,4164.0,4105.35,4176.54,4088.39,+1.29%
02/06/2023,4111.08,4119.57,4124.63,4093.38,-0.61%
02/03/2023,4136.48,4136.69,4182.36,4123.36,-1.04%
02/02/2023,4179.76,4158.68,4195.44,4141.88,+1.47%
02/01/2023,4119.21,4070.07,4148.95,4037.2,+1.05%
01/31/2023,4076.6,4020.85,4077.16,4020.44,+1.46%
01/30/2023,4017.77,4049.27,4063.85,4015.55,-1.30%
01/27/2023,4070.56,4053.72,4094.21,4048.7,+0.25%
01/26/2023,4060.43,4036.08,4061.57,4013.29,+1.10%
01/25/2023,4016.22,3982.71,4019.55,3949.06,-0.02%
01/24/2023,4016.95,4001.74,4023.92,3989.79,-0.07%
01/23/2023,4019.81,3978.14,4039.31,3971.64,+1.19%
01/20/2023,3972.61,3909.04,3972.96,3897.86,+1.89%
01/19/2023,3898.85,3911.84,3922.94,3885.54,-0.76%
01/18/2023,3928.86,4002.25,4014.16,3926.59,-1.56%
01/17/2023,3990.97,3999.28,4015.39,3984.57,-0.20%
01/13/2023,3999.09,3960.6,4003.95,3947.67,+0.40%
01/12/2023,3983.17,3977.57,3997.76,3937.56,+0.34%
01/11/2023,3969.61,3932.35,3970.07,3928.54,+1.28%
01/10/2023,3919.25,3888.57,3919.83,3877.29,+0.70%
01/09/2023,3892.09,3910.82,3950.57,3890.42,-0.08%
01/06/2023,3895.08,3823.37,3906.19,3809.56,+2.28%
01/05/2023,3808.1,3839.74,3839.74,3802.42,-1.16%
01/04/2023,3852.97,3840.36,3873.16,3815.77,+0.75%
01/03/2023,3824.14,3853.29,3878.46,3794.33,-0.40%
