Date,Price,Open,High,Low,Change %
03/22/2023,32030.11,32570.19,32761.89,32020.46,-1.63%
03/21/2023,32560.6,32420.71,32593.68,32346.12,+0.98%
03/20/2023,32244.58,31872.33,32280.07,31872.33,+1.20%
03/17/2023,31861.98,32217.32,32217.32,31728.7,-1.19%
03/16/2023,32246.55,31827.65,32281.61,31571.46,+1.17%
03/15/2023,31874.57,31759.87,31906.47,31429.82,-0.87%
03/14/2023,32155.4,32055.29,32306.59,31805.4,+1.06%
03/13/2023,31819.14,31819.93,32240.35,31624.87,-0.28%
03/10/2023,31909.64,32185.14,32422.1,31783.41,-1.07%
03/09/2023,32254.86,32876.83,32990.46,32190.6,-1.66%
03/08/2023,32798.4,32872.08,32903.44,32612.7,-0.18%
03/07/2023,32856.46,33428.31,33453.25,32838.21,-1.72%
03/06/2023,33431.44,33425.32,33572.22,33383.47,+0.12%
03/03/2023,33390.97,33076.33,33405.82,33008.41,+1.17%
03/02/2023,33003.57,32780.97,33083.45,32665.85,+1.05%
03/01/2023,32661.84,32656.37,32746.15,32500.71,+0.02%
02/28/2023,32656.7,32873.47,32873.47,32636.43,-0.71%
02/27/2023,32889.09,32906.16,33189.28,32814.18,+0.22%
02/24/2023,32816.92,32999.19,32999.19,32643.48,-1.02%
02/23/2023,33153.91,33175.39,33272.4,32795.67,+0.33%
02/22/2023,33045.09,33169.33,33245.97,32948.27,-0.26%
02/21/2023,33129.59,33699.69,33699.69,33115.74,-2.06%
02/17/2023,33826.69,33677.01,33846.64,33517.73,+0.39%
02/16/2023,33696.85,33992.09,34041.16,33686.59,-1.26%
02/15/2023,34128.05,34008.63,34130.49,33833.1,+0.11%
02/14/2023,34089.27,34194.09,34331.47,33827.45,-0.46%
02/13/2023,34245.93,33887.39,34249.6,33887.39,+1.11%
02/10/2023,33869.27,33671.54,33897.31,33591.99,+0.50%
02/09/2023,33699.88,34105.61,34252.57,33607.13,-0.73%
02/08/2023,33949.01,34132.9,34161.65,33899.79,-0.61%
02/07/2023,34156.69,33769.78,34240.0,33634.1,+0.78%
02/06/2023,33891.02,33874.44,33962.84,33683.58,-0.10%
02/03/2023,33926.01,33926.3,34179.58,33813.86,-0.38%
02/02/2023,34053.94,34129.3,34145.14,33814.78,-0.11%
02/01/2023,34092.96,34039.6,34334.7,33581.42,+0.02%
01/31/2023,34086.04,33803.56,34095.23,33664.91,+1.09%
01/30/2023,33717.09,33909.21,34055.29,33695.18,-0.77%
01/27/2023,33978.08,33952.93,34164.33,33830.85,+0.08%
01/26/2023,33949.41,33771.66,33953.79,33635.6,+0.61%
01/25/2023,33743.84,33538.36,33773.09,33273.21,+0.03%
01/24/2023,33733.96,33444.72,33782.92,33310.56,+0.31%
01/23/2023,33629.56,33439.56,33782.88,33316.25,+0.76%
01/20/2023,33375.49,33073.46,33381.95,32948.93,+1.00%
01/19/2023,33044.56,33171.35,33227.49,32982.05,-0.76%
01/18/2023,33296.96,33948.49,34016.53,33269.9,-1.81%
01/17/2023,33910.85,34222.32,34269.97,33860.67,-1.14%
01/13/2023,34302.61,34075.31,34342.32,33915.49,+0.33%
01/12/2023,34189.97,34047.86,34292.67,33792.1,+0.64%
01/11/2023,33973.01,33754.03,33974.69,33711.04,+0.80%
01/10/2023,33704.1,33516.43,33726.54,33421.8,+0.56%
01/09/2023,33517.65,33664.39,33935.11,33487.66,-0.34%
01/06/2023,33630.61,33055.3,33710.66,32997.39,+2.13%
01/05/2023,32930.08,33191.72,33191.72,32812.33,-1.02%
01/04/2023,33269.77,33165.14,33409.1,33033.48,+0.40%
01/03/2023,33136.37,33148.9,33387.52,32850.57,-0.03%
